"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2018","21,268.73","21,676.83","21,703.21","21,204.40","965.27M","-3.72%"
"Oct 24, 2018","22,091.18","22,167.76","22,207.09","21,911.42","864.52M","0.37%"
"Oct 23, 2018","22,010.78","22,404.14","22,410.15","21,993.07","826.57M","-2.67%"
"Oct 22, 2018","22,614.82","22,374.21","22,672.25","22,271.59","649.09M","0.37%"
"Oct 19, 2018","22,532.08","22,342.00","22,551.67","22,212.57","694.70M","-0.56%"
"Oct 18, 2018","22,658.16","22,871.28","22,873.13","22,637.29","662.84M","-0.80%"
"Oct 17, 2018","22,841.12","22,806.59","22,959.41","22,765.58","743.00M","1.29%"
"Oct 16, 2018","22,549.24","22,298.20","22,549.24","22,269.53","723.40M","1.25%"
"Oct 15, 2018","22,271.30","22,501.33","22,520.59","22,261.92","824.29M","-1.87%"
"Oct 12, 2018","22,694.66","22,323.43","22,711.13","22,323.43","1.03B","0.46%"
"Oct 11, 2018","22,590.86","23,043.37","23,051.19","22,459.02","1.19B","-3.89%"
"Oct 10, 2018","23,506.04","23,538.92","23,589.38","23,373.54","728.31M","0.16%"
"Oct 09, 2018","23,469.39","23,550.47","23,587.05","23,442.46","892.10M","-1.32%"
"Oct 05, 2018","23,783.72","23,781.76","23,928.62","23,730.19","871.86M","-0.80%"
"Oct 04, 2018","23,975.62","24,242.06","24,247.82","23,923.26","921.51M","-0.56%"
"Oct 03, 2018","24,110.96","24,219.19","24,260.63","24,030.59","734.70M","-0.66%"
"Oct 02, 2018","24,270.62","24,376.17","24,448.07","24,217.26","830.14M","0.10%"
"Oct 01, 2018","24,245.76","24,173.37","24,306.54","24,123.50","669.60M","0.52%"
"Sep 28, 2018","24,120.04","24,080.01","24,286.10","24,021.27","935.00M","1.36%"
"Sep 27, 2018","23,796.74","23,946.43","24,089.32","23,778.04","785.73M","-0.99%"
"Sep 26, 2018","24,033.79","23,846.60","24,033.79","23,833.92","867.65M","0.39%"
"Sep 25, 2018","23,940.26","23,881.85","23,950.98","23,808.95","1.04B","0.29%"
"Sep 21, 2018","23,869.93","23,848.63","23,971.41","23,764.05","1.24B","0.82%"
"Sep 20, 2018","23,674.93","23,752.79","23,781.75","23,582.15","1.05B","0.01%"
"Sep 19, 2018","23,672.52","23,754.96","23,842.05","23,672.52","964.62M","1.08%"
"Sep 18, 2018","23,420.54","23,042.19","23,481.53","23,039.26","933.74M","1.41%"
"Sep 14, 2018","23,094.67","23,035.78","23,105.28","22,965.48","1.06B","1.20%"
"Sep 13, 2018","22,821.32","22,657.95","22,858.41","22,643.88","773.08M","0.96%"
"Sep 12, 2018","22,604.61","22,702.71","22,709.37","22,522.17","822.69M","-0.27%"
"Sep 11, 2018","22,664.69","22,469.78","22,667.85","22,457.10","788.53M","1.30%"
"Sep 10, 2018","22,373.09","22,253.65","22,396.88","22,249.61","574.18M","0.30%"
"Sep 07, 2018","22,307.06","22,351.84","22,372.89","22,172.90","720.05M","-0.80%"
"Sep 06, 2018","22,487.94","22,458.97","22,535.34","22,416.63","640.78M","-0.41%"
"Sep 05, 2018","22,580.83","22,663.80","22,692.25","22,570.52","673.72M","-0.51%"
"Sep 04, 2018","22,696.90","22,740.05","22,753.18","22,612.15","538.72M","-0.05%"
"Sep 03, 2018","22,707.38","22,819.17","22,820.48","22,684.43","513.67M","-0.69%"
"Aug 31, 2018","22,865.15","22,733.25","22,890.61","22,678.03","701.66M","-0.02%"
"Aug 30, 2018","22,869.50","23,020.18","23,032.17","22,832.83","761.97M","0.09%"
"Aug 29, 2018","22,848.22","22,820.86","22,968.18","22,819.97","605.99M","0.15%"
"Aug 28, 2018","22,813.47","22,967.74","23,006.77","22,813.47","625.86M","0.06%"
"Aug 27, 2018","22,799.64","22,693.69","22,838.06","22,682.39","517.65M","0.88%"
"Aug 24, 2018","22,601.77","22,484.01","22,602.24","22,452.42","519.75M","0.85%"
"Aug 23, 2018","22,410.82","22,420.67","22,463.03","22,377.88","516.92M","0.22%"
"Aug 22, 2018","22,362.55","22,270.04","22,390.20","22,162.81","588.98M","0.64%"
"Aug 21, 2018","22,219.73","22,110.54","22,306.83","22,053.14","562.22M","0.09%"
"Aug 20, 2018","22,199.00","22,267.07","22,288.31","22,150.75","481.62M","-0.32%"
"Aug 17, 2018","22,270.38","22,313.19","22,340.95","22,244.10","577.54M","0.35%"
"Aug 16, 2018","22,192.04","21,980.82","22,240.42","21,871.70","802.62M","-0.05%"
"Aug 15, 2018","22,204.22","22,368.12","22,380.28","22,110.29","631.27M","-0.68%"
"Aug 14, 2018","22,356.08","22,053.07","22,356.08","22,047.19","614.85M","2.28%"
"Aug 13, 2018","21,857.43","22,117.57","22,124.60","21,851.32","801.82M","-1.98%"
"Aug 10, 2018","22,298.08","22,606.91","22,608.86","22,272.69","762.21M","-1.33%"
"Aug 09, 2018","22,598.39","22,591.54","22,648.88","22,497.99","637.21M","-0.20%"
"Aug 08, 2018","22,644.31","22,666.56","22,800.61","22,610.29","749.90M","-0.08%"
"Aug 07, 2018","22,662.74","22,514.31","22,666.68","22,499.05","715.16M","0.69%"
"Aug 06, 2018","22,507.32","22,536.05","22,635.68","22,486.74","690.55M","-0.08%"
"Aug 03, 2018","22,525.18","22,585.54","22,613.50","22,490.57","738.92M","0.06%"
"Aug 02, 2018","22,512.53","22,676.73","22,754.73","22,464.81","973.64M","-1.03%"
"Aug 01, 2018","22,746.70","22,642.18","22,775.47","22,615.98","1.04B","0.86%"
"Jul 31, 2018","22,553.72","22,472.12","22,678.06","22,352.21","1.19B","0.04%"
"Jul 30, 2018","22,544.84","22,613.30","22,631.32","22,518.94","785.71M","-0.74%"
"Jul 27, 2018","22,712.75","22,646.48","22,712.75","22,593.20","754.91M","0.56%"
"Jul 26, 2018","22,586.87","22,711.59","22,717.15","22,549.77","718.25M","-0.12%"
"Jul 25, 2018","22,614.25","22,594.28","22,645.66","22,547.14","604.86M","0.46%"
"Jul 24, 2018","22,510.48","22,555.05","22,555.05","22,416.23","725.76M","0.51%"
"Jul 23, 2018","22,396.99","22,480.33","22,507.17","22,341.87","906.89M","-1.33%"
"Jul 20, 2018","22,697.88","22,734.56","22,869.98","22,541.35","719.15M","-0.29%"
"Jul 19, 2018","22,764.68","22,871.62","22,926.47","22,761.87","643.17M","-0.13%"
"Jul 18, 2018","22,794.19","22,917.52","22,949.32","22,794.19","582.01M","0.43%"
"Jul 17, 2018","22,697.36","22,605.73","22,832.22","22,575.42","780.88M","0.44%"
